category,name,url,id,description,image_url
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,https://catalog.appdirect.com/en-US/apps/412049/google-chrome-enterprise-upgrade---1-year-licensesupport,412049,"Google Chrome Enterprise Upgrade - 1 Year License/Support
Advanced security that keeps corporate data safe and ensures flexible access to resources.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/412049/thumbs_64/img808952916922519161.png
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,,
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,,
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,"Google Chrome Enterprise Upgrade - 1 Year License/Support
Advanced security that keeps corporate data safe and ensures flexible access to resources.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/412049/thumbs_64/img808952916922519161.png
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,"Google Chrome Enterprise Upgrade - 1 Year License/Support
Advanced security that keeps corporate data safe and ensures flexible access to resources.",
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,"Google Chrome Enterprise Upgrade - 1 Year License/Support
Advanced security that keeps corporate data safe and ensures flexible access to resources.",
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,,
Software,Google Chrome Enterprise Upgrade - 1 Year License/Support,,,,
Software,Advanced security that keeps corporate data safe and ensures flexible access to resources.,,,,
Software,From $50.00 / Year,,,,
Software,(1365),,,,
Software,(1365),,,,
Software,Compare,,,,
Software,Google Chrome Enterprise (Education),https://catalog.appdirect.com/en-US/apps/327100/google-chrome-enterprise-(education),327100,"Google Chrome Enterprise (Education)
Secure platform for schools that includes web filtering, app management & collaboration tools.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/327100/thumbs_64/img8054425051735103207.png
Software,Google Chrome Enterprise (Education),,,,
Software,Google Chrome Enterprise (Education),,,,
Software,Google Chrome Enterprise (Education),,,"Google Chrome Enterprise (Education)
Secure platform for schools that includes web filtering, app management & collaboration tools.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/327100/thumbs_64/img8054425051735103207.png
Software,Google Chrome Enterprise (Education),,,"Google Chrome Enterprise (Education)
Secure platform for schools that includes web filtering, app management & collaboration tools.",
Software,Google Chrome Enterprise (Education),,,"Google Chrome Enterprise (Education)
Secure platform for schools that includes web filtering, app management & collaboration tools.",
Software,Google Chrome Enterprise (Education),,,,
Software,Google Chrome Enterprise (Education),,,,
Software,"Secure platform for schools that includes web filtering, app management & collaboration tools.",,,,
Software,From $38.00,,,,
Software,(1366),,,,
Software,(1366),,,,
Software,Compare,,,,
Software,Google Voice,https://catalog.appdirect.com/en-US/apps/245732/google-voice,245732,"Google Voice
Easy-to-use phone solution to stay connected and organized on tasks on all your devices.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/245732/thumbs_64/img8270510583479383699.png
Software,Google Voice,,,,
Software,Google Voice,,,,
Software,Google Voice,,,"Google Voice
Easy-to-use phone solution to stay connected and organized on tasks on all your devices.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/245732/thumbs_64/img8270510583479383699.png
Software,Google Voice,,,"Google Voice
Easy-to-use phone solution to stay connected and organized on tasks on all your devices.",
Software,Google Voice,,,"Google Voice
Easy-to-use phone solution to stay connected and organized on tasks on all your devices.",
Software,Google Voice,,,,
Software,Google Voice,,,,
Software,Easy-to-use phone solution to stay connected and organized on tasks on all your devices.,,,,
Software,From $10.00 / Month,,,,
Software,(121),,,,
Software,(121),,,,
Software,Compare,,,,
Software,Google Workspace,https://catalog.appdirect.com/en-US/apps/234576/google-workspace,234576,"Google Workspace
Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/234576/thumbs_64/img6675920178289228770.png
Software,Google Workspace,,,,
Software,Google Workspace,,,,
Software,Google Workspace,,,"Google Workspace
Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/234576/thumbs_64/img6675920178289228770.png
Software,Google Workspace,,,"Google Workspace
Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",https://d3bql97l1ytoxn.cloudfront.net/common_resources/badge/0af0e01c-5c06-4bbb-9da1-214428362bdf/img7972380461864714752.png?0a566604eb8930fa19c2275dddec67fd
Software,Google Workspace,,,"Google Workspace
Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",https://d3bql97l1ytoxn.cloudfront.net/common_resources/badge/0af0e01c-5c06-4bbb-9da1-214428362bdf/img7972380461864714752.png?0a566604eb8930fa19c2275dddec67fd
Software,Google Workspace,,,,
Software,Google Workspace,,,,
Software,"Set of cloud computing, productivity & collaboration tools, software & products developed by Google.",,,,
Software,From $5.00 / Month,,,,
Software,(31421),,,,
Software,(31421),,,,
Software,Compare,,,,
Software,Microsoft Entra ID,https://catalog.appdirect.com/en-US/apps/347340/microsoft-entra-id,347340,"Microsoft Entra ID
Manage user identities and create intelligence-driven access policies to secure your resources.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/customizations/APPSMART/347340/thumbs_64/img4873860488553777602.png?b32879a664f64742c32acbec61dd2064
Software,Microsoft Entra ID,,,,
Software,Microsoft Entra ID,,,,
Software,Microsoft Entra ID,,,"Microsoft Entra ID
Manage user identities and create intelligence-driven access policies to secure your resources.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/customizations/APPSMART/347340/thumbs_64/img4873860488553777602.png?b32879a664f64742c32acbec61dd2064
Software,Microsoft Entra ID,,,"Microsoft Entra ID
Manage user identities and create intelligence-driven access policies to secure your resources.",
Software,Microsoft Entra ID,,,"Microsoft Entra ID
Manage user identities and create intelligence-driven access policies to secure your resources.",
Software,Microsoft Entra ID,,,,
Software,Microsoft Entra ID,,,,
Software,Manage user identities and create intelligence-driven access policies to secure your resources.,,,,
Software,From $3.00 / Month,,,,
Software,(777),,,,
Software,(777),,,,
Software,Compare,,,,
Software,Microsoft Intune,https://catalog.appdirect.com/en-US/apps/347706/microsoft-intune,347706,"Microsoft Intune
Manage and protect endpoints for better hybrid work experiences and lower total cost of ownership.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/customizations/APPSMART/347706/thumbs_64/img1378171860752058372.png?d428f40ab600a5891c230af4776c190b
Software,Microsoft Intune,,,,
Software,Microsoft Intune,,,,
Software,Microsoft Intune,,,"Microsoft Intune
Manage and protect endpoints for better hybrid work experiences and lower total cost of ownership.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/customizations/APPSMART/347706/thumbs_64/img1378171860752058372.png?d428f40ab600a5891c230af4776c190b
Software,Microsoft Intune,,,"Microsoft Intune
Manage and protect endpoints for better hybrid work experiences and lower total cost of ownership.",
Software,Microsoft Intune,,,"Microsoft Intune
Manage and protect endpoints for better hybrid work experiences and lower total cost of ownership.",
Software,Microsoft Intune,,,,
Software,Microsoft Intune,,,,
Software,Manage and protect endpoints for better hybrid work experiences and lower total cost of ownership.,,,,
Software,From $2.00 / Month,,,,
Software,(212),,,,
Software,(212),,,,
Software,Compare,,,,
Software,635 Results,,,,
Software,635 Results,,,,
Software,635 Results,,,,
Software,1,,,,
Software,1,,,,
Software,Back to top,,,,
Software,Back to top,,,,
Infrastructure,All Applications,,,,
Infrastructure,Home,,,,
Infrastructure,All Applications,,,,
Infrastructure,All Applications,,,,
Infrastructure,All Applications,,,,
Infrastructure,109 ResultsUse quotes for exact search,,,,
Infrastructure,109 Results,,,,
Infrastructure,Use quotes for exact search,,,,
Infrastructure,Hide Filters,,,,
Infrastructure,Hide Filters,,,,
Infrastructure,Hide Filters,,,,
Infrastructure,Hide Filters,,,,
Infrastructure,Sort By,,,,
Infrastructure,View Mode,,,,
Infrastructure,Now Available on AppDirect,https://catalog.appdirect.com/en-US/apps/392151/performive,392151,"Google Cloud Platform
Whether your business is early in its journey or well on its way to digital transformation, Google Cloud can help solve your toughest challenges.",https://d3bql97l1ytoxn.cloudfront.net/386bade8-6d35-4ca1-abc7-3f05e6c933df/3310cf7f-90cd-4688-af98-66f648af4ee2.png
Infrastructure,Acronis,https://catalog.appdirect.com/en-US/apps/320559/acronis,320559,,https://d3bql97l1ytoxn.cloudfront.net/app_resources/320559/thumbs_64/img2264193756552649157.png
Infrastructure,Acronis,,,,https://d3bql97l1ytoxn.cloudfront.net/app_resources/320559/thumbs_64/img2264193756552649157.png
Infrastructure,Acronis,,,,
Infrastructure,Google Cloud Platform,https://catalog.appdirect.com/en-US/apps/392151/performive,392151,"Google Cloud Platform
Whether your business is early in its journey or well on its way to digital transformation, Google Cloud can help solve your toughest challenges.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/443509/thumbs_64/img854362136099647374.png
Infrastructure,Google Cloud Platform,https://catalog.appdirect.com/en-US/apps/392151/performive,392151,"Google Cloud Platform
Whether your business is early in its journey or well on its way to digital transformation, Google Cloud can help solve your toughest challenges.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/443509/thumbs_64/img854362136099647374.png
Infrastructure,Google Cloud Platform,https://catalog.appdirect.com/en-US/apps/443509/google-cloud-platform,443509,"Google Cloud Platform
Whether your business is early in its journey or well on its way to digital transformation, Google Cloud can help solve your toughest challenges.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/443509/thumbs_64/img854362136099647374.png
Infrastructure,Google Cloud Platform,,,,
Infrastructure,Google Cloud Platform,,,,
Infrastructure,Google Cloud Platform,,,"Google Cloud Platform
Whether your business is early in its journey or well on its way to digital transformation, Google Cloud can help solve your toughest challenges.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/443509/thumbs_64/img854362136099647374.png
Infrastructure,Google Cloud Platform,,,"Google Cloud Platform
Whether your business is early in its journey or well on its way to digital transformation, Google Cloud can help solve your toughest challenges.",
Infrastructure,Google Cloud Platform,,,"Google Cloud Platform
Whether your business is early in its journey or well on its way to digital transformation, Google Cloud can help solve your toughest challenges.",
Infrastructure,Google Cloud Platform,,,,
Infrastructure,Google Cloud Platform,,,,
Infrastructure,"Whether your business is early in its journey or well on its way to digital transformation, Google Cloud can help solve your toughest challenges.",,,,
Infrastructure,(20),,,,
Infrastructure,(20),,,,
Infrastructure,Compare,,,,
Infrastructure,Microsoft Azure Plan,https://catalog.appdirect.com/en-US/apps/328840/microsoft-azure-plan,328840,"Microsoft Azure Plan
Build, run and manage applications across multiple clouds, on-premises, and at the edge.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/328840/thumbs_64/img8592538226143733140.png
Infrastructure,Microsoft Azure Plan,,,,
Infrastructure,Microsoft Azure Plan,,,,
Infrastructure,Microsoft Azure Plan,,,"Microsoft Azure Plan
Build, run and manage applications across multiple clouds, on-premises, and at the edge.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/328840/thumbs_64/img8592538226143733140.png
Infrastructure,Microsoft Azure Plan,,,"Microsoft Azure Plan
Build, run and manage applications across multiple clouds, on-premises, and at the edge.",
Infrastructure,Microsoft Azure Plan,,,"Microsoft Azure Plan
Build, run and manage applications across multiple clouds, on-premises, and at the edge.",
Infrastructure,Microsoft Azure Plan,,,,
Infrastructure,Microsoft Azure Plan,,,,
Infrastructure,"Build, run and manage applications across multiple clouds, on-premises, and at the edge.",,,,
Infrastructure,(2124),,,,
Infrastructure,(2124),,,,
Infrastructure,Compare,,,,
Infrastructure,Rackspace Technology Private Cloud,https://catalog.appdirect.com/en-US/apps/258015/rackspace-technology-private-cloud,258015,"Rackspace Technology Private Cloud
Modern private cloud offering high levels of performance and security with versatility.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/258015/thumbs_64/img7725667974129748537.png
Infrastructure,Rackspace Technology Private Cloud,,,,
Infrastructure,Rackspace Technology Private Cloud,,,,
Infrastructure,Rackspace Technology Private Cloud,,,"Rackspace Technology Private Cloud
Modern private cloud offering high levels of performance and security with versatility.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/258015/thumbs_64/img7725667974129748537.png
Infrastructure,Rackspace Technology Private Cloud,,,"Rackspace Technology Private Cloud
Modern private cloud offering high levels of performance and security with versatility.",
Infrastructure,Rackspace Technology Private Cloud,,,"Rackspace Technology Private Cloud
Modern private cloud offering high levels of performance and security with versatility.",
Infrastructure,Rackspace Technology Private Cloud,,,,
Infrastructure,Rackspace Technology Private Cloud,,,,
Infrastructure,Modern private cloud offering high levels of performance and security with versatility.,,,,
Infrastructure,(49),,,,
Infrastructure,(49),,,,
Infrastructure,Compare,,,,
Infrastructure,Equinix Platform,https://catalog.appdirect.com/en-US/apps/299790/equinix-platform,299790,"Equinix Platform
When you build your digital business platform with Equinix, you dynamically interconnect with the world’s largest ecosystem of people, clouds, data and things. With 210+ International Business Exchange™ IBX® data centers on 5 continents and 99.9999% global uptime, Platform Equinix™ gives you unparalleled access to 52 major markets and lets you reach every destination on demand.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/299790/thumbs_64/img6217574120930781425.png
Infrastructure,Equinix Platform,,,,
Infrastructure,Equinix Platform,,,,
Infrastructure,Equinix Platform,,,"Equinix Platform
When you build your digital business platform with Equinix, you dynamically interconnect with the world’s largest ecosystem of people, clouds, data and things. With 210+ International Business Exchange™ IBX® data centers on 5 continents and 99.9999% global uptime, Platform Equinix™ gives you unparalleled access to 52 major markets and lets you reach every destination on demand.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/299790/thumbs_64/img6217574120930781425.png
Infrastructure,Equinix Platform,,,"Equinix Platform
When you build your digital business platform with Equinix, you dynamically interconnect with the world’s largest ecosystem of people, clouds, data and things. With 210+ International Business Exchange™ IBX® data centers on 5 continents and 99.9999% global uptime, Platform Equinix™ gives you unparalleled access to 52 major markets and lets you reach every destination on demand.",
Infrastructure,Equinix Platform,,,"Equinix Platform
When you build your digital business platform with Equinix, you dynamically interconnect with the world’s largest ecosystem of people, clouds, data and things. With 210+ International Business Exchange™ IBX® data centers on 5 continents and 99.9999% global uptime, Platform Equinix™ gives you unparalleled access to 52 major markets and lets you reach every destination on demand.",
Infrastructure,Equinix Platform,,,,
Infrastructure,Equinix Platform,,,,
Infrastructure,"When you build your digital business platform with Equinix, you dynamically interconnect with the world’s largest ecosystem of people, clouds, data and things. With 210+ International Business Exchange™ IBX® data centers on 5 continents and 99.9999% global uptime, Platform Equinix™ gives you unparalleled access to 52 major markets and lets you reach every destination on demand.",,,,
Infrastructure,(11),,,,
Infrastructure,(11),,,,
Infrastructure,Compare,,,,
Infrastructure,GTT Communications Colocation,https://catalog.appdirect.com/en-US/apps/312444/gtt-communications-colocation,312444,"GTT Communications Colocation
Carrier services offering perimeter security, on-site staff, CCTV, intrusion detection & monitoring.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312444/thumbs_64/img1531388135712909940.png
Infrastructure,GTT Communications Colocation,,,,
Infrastructure,GTT Communications Colocation,,,,
Infrastructure,GTT Communications Colocation,,,"GTT Communications Colocation
Carrier services offering perimeter security, on-site staff, CCTV, intrusion detection & monitoring.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/312444/thumbs_64/img1531388135712909940.png
Infrastructure,GTT Communications Colocation,,,"GTT Communications Colocation
Carrier services offering perimeter security, on-site staff, CCTV, intrusion detection & monitoring.",
Infrastructure,GTT Communications Colocation,,,"GTT Communications Colocation
Carrier services offering perimeter security, on-site staff, CCTV, intrusion detection & monitoring.",
Infrastructure,GTT Communications Colocation,,,,
Infrastructure,GTT Communications Colocation,,,,
Infrastructure,"Carrier services offering perimeter security, on-site staff, CCTV, intrusion detection & monitoring.",,,,
Infrastructure,Compare,,,,
Infrastructure,Compare,,,,
Infrastructure,123NET Data Center & Colocation Services,https://catalog.appdirect.com/en-US/apps/299799/123net-data-center-colocation-services,299799,"123NET Data Center & Colocation Services
Colocate your infrastructure in a cost-effective, secure & highly connected data center.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/299799/thumbs_64/img8623416854197678516.png
Infrastructure,123NET Data Center & Colocation Services,,,,
Infrastructure,123NET Data Center & Colocation Services,,,,
Infrastructure,123NET Data Center & Colocation Services,,,"123NET Data Center & Colocation Services
Colocate your infrastructure in a cost-effective, secure & highly connected data center.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/299799/thumbs_64/img8623416854197678516.png
Infrastructure,123NET Data Center & Colocation Services,,,"123NET Data Center & Colocation Services
Colocate your infrastructure in a cost-effective, secure & highly connected data center.",
Infrastructure,123NET Data Center & Colocation Services,,,"123NET Data Center & Colocation Services
Colocate your infrastructure in a cost-effective, secure & highly connected data center.",
Infrastructure,123NET Data Center & Colocation Services,,,,
Infrastructure,123NET Data Center & Colocation Services,,,,
Infrastructure,"Colocate your infrastructure in a cost-effective, secure & highly connected data center.",,,,
Infrastructure,Compare,,,,
Infrastructure,Compare,,,,
Infrastructure,US Signal Colocation,https://catalog.appdirect.com/en-US/apps/299805/us-signal-colocation,299805,"US Signal Colocation
Protect & connect IT assets in colocation facilities with space, power, scalability & security.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/299805/thumbs_64/img3765178960492182926.png
Infrastructure,US Signal Colocation,,,,
Infrastructure,US Signal Colocation,,,,
Infrastructure,US Signal Colocation,,,"US Signal Colocation
Protect & connect IT assets in colocation facilities with space, power, scalability & security.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/299805/thumbs_64/img3765178960492182926.png
Infrastructure,US Signal Colocation,,,"US Signal Colocation
Protect & connect IT assets in colocation facilities with space, power, scalability & security.",
Infrastructure,US Signal Colocation,,,"US Signal Colocation
Protect & connect IT assets in colocation facilities with space, power, scalability & security.",
Infrastructure,US Signal Colocation,,,,
Infrastructure,US Signal Colocation,,,,
Infrastructure,"Protect & connect IT assets in colocation facilities with space, power, scalability & security.",,,,
Infrastructure,Compare,,,,
Infrastructure,Compare,,,,
Infrastructure,US Signal Disaster Recovery,https://catalog.appdirect.com/en-US/apps/299808/us-signal-disaster-recovery,299808,"US Signal Disaster Recovery
DRaaS platform that protects from data loss & ensures continuity in the event of a disaster.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/299808/thumbs_64/img5348959401776301499.png
Infrastructure,US Signal Disaster Recovery,,,,
Infrastructure,US Signal Disaster Recovery,,,,
Infrastructure,US Signal Disaster Recovery,,,"US Signal Disaster Recovery
DRaaS platform that protects from data loss & ensures continuity in the event of a disaster.",https://d3bql97l1ytoxn.cloudfront.net/app_resources/299808/thumbs_64/img5348959401776301499.png
Infrastructure,US Signal Disaster Recovery,,,"US Signal Disaster Recovery
DRaaS platform that protects from data loss & ensures continuity in the event of a disaster.",
Infrastructure,US Signal Disaster Recovery,,,"US Signal Disaster Recovery
DRaaS platform that protects from data loss & ensures continuity in the event of a disaster.",
Infrastructure,US Signal Disaster Recovery,,,,
Infrastructure,US Signal Disaster Recovery,,,,
Infrastructure,DRaaS platform that protects from data loss & ensures continuity in the event of a disaster.,,,,
Infrastructure,Compare,,,,
Infrastructure,Compare,,,,
